"id","dishname","reciepeitemname","pgNo","receipescoop","qty","inGm","inML","inPiece","comments","created_at"
1,"CHOLE BHATURE","tea powder","6B","staff rice_gm_reciepe",125,125,NULL,NULL,"Seed from catalog.js","2026-09-20 08:41:04.062881+00"
2,"ONION PARATHA","haldi powder","11","staff rice_gm_reciepe",200,200,NULL,NULL,"Seed from catalog.js","2026-09-20 08:41:04.062881+00"
3,"CHOLE  KULCHE","staff rice","4","staff rice_gm_reciepe",100,100,NULL,NULL,"Seed from catalog.js","2026-09-20 08:41:04.062881+00"
4,"PINDI  CHOLE","oil tin","7","staff rice_gm_reciepe",150,150,NULL,NULL,"Seed from catalog.js","2026-09-20 08:41:04.062881+00"
5,"EXTRA  KULCHA","chilly powder","10","staff rice_gm_reciepe",175,175,NULL,NULL,"Seed from catalog.js","2026-09-20 08:41:04.062881+00"
6,"Arrabiata Pasta","black pepper","39B","black pepper_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
7,"Arrabiata Pasta","Broccoli","V15",NULL,10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
8,"Arrabiata Pasta","cheese processed","81","cheese processed_gm_reciepe",30,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
9,"Arrabiata Pasta","corn","80","corn_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
10,"Arrabiata Pasta","RICH COOKING CREAM","75","RICH COOKING CREAM_gm_reciepe",350,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
11,"Arrabiata Pasta","Capsicum","V1",NULL,10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
12,"Arrabiata Pasta","chilli flake","61","chilli flake_gm_reciepe",7,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
13,"Arrabiata Pasta","oregano","62","oregano_gm_reciepe",7,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
14,"Arrabiata Pasta","Garlic","V10",NULL,3,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
15,"Arrabiata Pasta","olive","35A","olive_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
16,"Arrabiata Pasta","salt","27A","salt_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
17,"Arrabiata Pasta","white pepper","39A","white pepper_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
18,"Arrabiata Pasta","PASTA PROCESSED","P7",NULL,250,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
19,"Arrabiata Pasta","totalingredientsqty",NULL,NULL,462,NULL,NULL,NULL,"","2026-09-20 09:00:12.099246+00"
