"id","dishname","dishcode","reciepeitemname","pgNo","receipescoop","qty","inGm","inML","inPiece","comments","created_at"
1,"CHOLE BHATURE","D002","tea powder","6B","staff rice_gm_reciepe",125,125,NULL,NULL,"Seed from catalog.js","2026-09-20 11:00:52.316435+00"
2,"ONION PARATHA","D005","haldi powder","11","staff rice_gm_reciepe",200,200,NULL,NULL,"Seed from catalog.js","2026-09-20 11:00:52.316435+00"
3,"CHOLE  KULCHE","D001","staff rice","4","staff rice_gm_reciepe",100,100,NULL,NULL,"Seed from catalog.js","2026-09-20 11:00:52.316435+00"
4,"PINDI  CHOLE","D003","oil tin","7","staff rice_gm_reciepe",150,150,NULL,NULL,"Seed from catalog.js","2026-09-20 11:00:52.316435+00"
5,"EXTRA  KULCHA","D004","chilly powder","10","staff rice_gm_reciepe",175,175,NULL,NULL,"Seed from catalog.js","2026-09-20 11:00:52.316435+00"
6,"OTHER","D174","AMUL CREAM","76","AMUL CREAM_gm_reciepe",1,NULL,NULL,NULL,"","2026-09-20 11:01:17.762969+00"
7,"OTHER","D174","ALOO GOBI MATAR","D057","ALOO GOBI MATAR_1_portion",1,NULL,NULL,NULL,"","2026-09-20 11:01:17.762969+00"
8,"OTHER","D174","totalingredientsqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-20 11:01:17.762969+00"
9,"OTHER","D174","totalprocessedqty",NULL,NULL,2,NULL,NULL,NULL,"","2026-09-20 11:01:17.762969+00"
10,"OTHER","D174","dish_out",NULL,NULL,NULL,0,0,0,"","2026-09-20 11:01:17.762969+00"
11,"VEG FRIED RICE","D034","ajinomoto","40","ajinomoto_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
12,"VEG FRIED RICE","D034","ajinomoto","40","ajinomoto_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
13,"VEG FRIED RICE","D034","black pepper","39B","black pepper_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
14,"VEG FRIED RICE","D034","black pepper","39B","black pepper_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
15,"VEG FRIED RICE","D034","Garlic","V10","Garlic_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
16,"VEG FRIED RICE","D034","Garlic","V10","Garlic_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
17,"VEG FRIED RICE","D034","Green Chilli","V2","Green Chilli_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
18,"VEG FRIED RICE","D034","Green Chilli","V2","Green Chilli_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
19,"VEG FRIED RICE","D034","Onion","V11","Onion_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
20,"VEG FRIED RICE","D034","Onion","V11","Onion_gm_reciepe",20,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
21,"VEG FRIED RICE","D034","salt","27A","salt_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
22,"VEG FRIED RICE","D034","salt","27A","salt_gm_reciepe",5,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
23,"VEG FRIED RICE","D034","soya sauce","43A","soya sauce_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
24,"VEG FRIED RICE","D034","soya sauce","43A","soya sauce_gm_reciepe",10,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
25,"VEG FRIED RICE","D034","white pepper","39A","white pepper_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.171747+00"
26,"VEG FRIED RICE","D034","white pepper","39A","white pepper_gm_reciepe",15,NULL,NULL,NULL,"","2026-09-20 11:17:56.175601+00"
